,reviewID,person,reviewHeader,review,rating,polarity_scores
67,68,Manas Mukherjee,Absolute rubbish!,Very bad,1,-0.5849
68,69,Flipkart Customer,Good choice,Good,4,0.4404
69,70,Flipkart Customer,Worth the money,Veri nice,4,0.4215
70,71,Flipkart Customer,Pretty good,Good,4,0.4404
71,72,Sachin,Decent product,"Got for 1.2k, gives very close shave but giving redness and blister on neck area, also doesn't give clean shave in neck area, however on face it gives very close, cleanb and irritation free shave.  Use good quality shaving foam.",3,0.6203
72,73,Krishna Nasker,Waste of money!,Experience is bad after a year it's shaver head not working and there single part are selled by noymi only at a very high price,1,-0.5423
73,74,Yogitha Surath,Fabulous!,this product is very good,5,0.4927
74,75,mohan kumar,Must buy!,Vary very good product easy to use,5,0.7474
75,76,Sunil  singh,Worth the money,Good,4,0.4404
76,77,Flipkart Customer,Absolute rubbish!,Low quality product. It got bursted while charging,1,-0.2732
77,78,Savita Mandaan,Mind-blowing purchase,"Very nice product ,👍🏻👍🏻👌👌",5,0.4754
78,79,Warees Shaikh,Brilliant,Really good product Easy to use and very long battery life,5,0.7474
79,80,Flipkart Customer,Classy product,Very good product,5,0.4927
80,81,Gaddagalla Madhu,Don't waste your money,No longer life,1,-0.296
81,82,Abdul Mateen Shaikh,Simply awesome,Product quality is super,5,0.5994
82,83,Mohd Nateque Siddiqui,Awesome,Amazing productVery useful great quality product and i think everybody should have one like this,5,0.9231
83,84,Flipkart Customer,Absolute rubbish!,Not good,1,-0.3412
84,85,Flipkart Customer,Unsatisfactory,Poor,1,-0.4767
85,86,Manas Dutta,Wonderful,"Light in weight machine,  best for daily use but don't expect close shave like regular razor blade. But good enough for day to day shaving activity within no time. Trimmer and nose trimmer works perfectly.",5,0.9287
86,87,Shubhang goyal,Brilliant,Battery backup is seriously amazing for 1 hr charge it gives about 45minutes output and the shaver is very good gives a perfect clean shave and very smooth experience while using this,5,0.9179
87,88,Flipkart Customer,Decent product,Ok,3,0.296
88,89,Flipkart Customer,Delightful,Nice product,4,0.4215
89,90,Prathap Gowda,Terrific purchase,Nice battery pick up good product,5,0.6908
